               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.027343,            0.022817,           0.0084093,             0.62723,             0.57881,             0.57725,             0.38968,            0.032685,            0.014711,            0.013792,            0.007228,            0.007228,            0.007228
                  86,             0.02711,            0.022835,           0.0083554,             0.60941,             0.60356,             0.57911,             0.39507,            0.032916,            0.014688,            0.013582,            0.007195,            0.007195,            0.007195
                  87,            0.027349,            0.022878,           0.0081848,             0.61729,             0.60527,              0.5798,             0.39827,            0.032876,            0.014678,            0.013269,            0.007162,            0.007162,            0.007162
                  88,            0.027038,            0.022798,            0.008149,             0.60031,             0.61667,             0.58227,              0.3995,            0.032764,            0.014732,            0.013052,            0.007129,            0.007129,            0.007129
                  89,            0.027211,            0.022538,            0.008178,             0.61668,             0.60358,             0.57956,             0.39711,            0.032512,            0.014743,            0.013133,            0.007096,            0.007096,            0.007096
                  90,            0.026038,            0.021989,            0.007751,             0.62336,             0.59496,             0.57989,             0.39816,            0.032361,            0.014824,            0.013505,            0.007063,            0.007063,            0.007063
                  91,            0.026715,            0.022326,           0.0080261,             0.61152,             0.61675,             0.57976,             0.39815,             0.03241,            0.014794,            0.013544,             0.00703,             0.00703,             0.00703
                  92,             0.02614,            0.021996,           0.0080668,             0.61475,             0.61294,              0.5812,             0.39999,            0.032489,            0.014796,             0.01328,            0.006997,            0.006997,            0.006997
                  93,             0.02666,            0.022226,           0.0080403,             0.62016,             0.60971,             0.58127,             0.39976,             0.03257,            0.014837,            0.013268,            0.006964,            0.006964,            0.006964
                  94,            0.027365,            0.022501,           0.0081617,             0.61496,             0.62317,             0.57771,              0.3972,            0.032652,            0.014864,            0.013171,            0.006931,            0.006931,            0.006931
                  95,            0.026329,            0.022068,            0.007615,              0.6031,             0.62491,             0.57737,              0.3967,            0.032623,            0.014878,            0.013126,            0.006898,            0.006898,            0.006898
                  96,            0.026451,            0.021858,            0.008107,             0.60993,             0.62131,              0.5848,             0.40229,            0.032687,            0.014827,            0.013036,            0.006865,            0.006865,            0.006865
                  97,            0.026305,            0.022228,           0.0077355,             0.61276,             0.62243,             0.58556,             0.40279,            0.032824,            0.014838,            0.013005,            0.006832,            0.006832,            0.006832
                  98,            0.025864,            0.022153,           0.0074012,             0.62381,             0.61421,             0.58893,             0.40369,            0.032916,            0.014897,            0.012988,            0.006799,            0.006799,            0.006799
                  99,            0.026059,            0.021581,           0.0074257,             0.62958,             0.61239,             0.58954,             0.40564,            0.032983,            0.014904,            0.013031,            0.006766,            0.006766,            0.006766
                 100,             0.02579,            0.021612,           0.0080103,             0.62805,             0.60931,             0.58759,             0.40421,            0.032963,            0.014898,            0.012971,            0.006733,            0.006733,            0.006733
                 101,            0.026149,            0.021819,           0.0078887,             0.63568,             0.60502,             0.58466,             0.40496,            0.033111,            0.014891,            0.013078,              0.0067,              0.0067,              0.0067
                 102,            0.025744,            0.021497,           0.0075485,             0.64387,              0.6072,             0.58943,             0.40807,            0.033096,            0.014903,            0.013059,            0.006667,            0.006667,            0.006667
                 103,            0.025737,            0.021717,            0.007758,             0.64219,             0.61672,              0.5932,             0.41027,            0.033061,            0.014923,            0.012998,            0.006634,            0.006634,            0.006634
                 104,            0.025794,            0.021602,           0.0074009,             0.64627,             0.61072,              0.5937,             0.41107,            0.032972,            0.014903,            0.013027,            0.006601,            0.006601,            0.006601
                 105,            0.025647,            0.021335,           0.0075271,             0.64049,             0.61444,             0.59426,             0.41173,            0.032862,             0.01491,            0.013138,            0.006568,            0.006568,            0.006568
                 106,            0.025504,            0.021469,           0.0076313,             0.64603,             0.60892,             0.59605,             0.41175,            0.032873,            0.014915,            0.013049,            0.006535,            0.006535,            0.006535
                 107,            0.025571,            0.021272,           0.0073013,             0.65271,             0.60158,             0.59756,              0.4127,            0.032837,            0.014885,            0.012803,            0.006502,            0.006502,            0.006502
                 108,            0.025361,            0.021152,           0.0070218,             0.64907,             0.60302,             0.59754,             0.41416,            0.032847,            0.014875,            0.012632,            0.006469,            0.006469,            0.006469
                 109,            0.025384,            0.021401,           0.0073718,             0.65064,             0.60445,             0.59804,             0.41472,            0.032817,             0.01488,            0.012443,            0.006436,            0.006436,            0.006436
                 110,            0.024987,            0.021184,           0.0072289,             0.65256,             0.59831,             0.59776,             0.41466,            0.032835,            0.014894,            0.012315,            0.006403,            0.006403,            0.006403
                 111,            0.025299,            0.021366,           0.0071805,             0.64333,             0.60692,             0.59698,             0.41449,            0.032887,            0.014909,            0.012452,             0.00637,             0.00637,             0.00637
                 112,            0.025466,            0.020853,           0.0073196,             0.63724,             0.61584,             0.59843,             0.41577,            0.032942,            0.014949,            0.012566,            0.006337,            0.006337,            0.006337
                 113,            0.025174,            0.021102,           0.0072437,             0.63434,             0.61892,             0.59684,             0.41432,            0.032918,            0.014962,            0.012673,            0.006304,            0.006304,            0.006304
                 114,            0.025036,            0.021155,           0.0073278,              0.6214,             0.63073,             0.59714,             0.41378,            0.032967,            0.014972,            0.012767,            0.006271,            0.006271,            0.006271
                 115,            0.024919,            0.020775,           0.0072267,              0.6284,             0.62785,             0.59739,             0.41272,            0.032958,            0.014974,            0.012821,            0.006238,            0.006238,            0.006238
